fid,label,start_date,end_date,longitude,latitude
"2628",girassol,2022/03/06,2022/06/20,-49.4630924292202,-18.0738113969599
"2629",girassol,2022/03/06,2022/06/20,-49.4646253031779,-18.0745768977952
"2630",girassol,2022/03/06,2022/06/20,-49.4597717374749,-18.0734267432418
"2631",girassol,2022/03/06,2022/06/20,-49.4591957438913,-18.0713581288322
"2632",girassol,2022/03/06,2022/06/20,-49.4634564519892,-18.0756451680603
"2633",girassol,2022/03/06,2022/06/20,-49.4618184103956,-18.0721894929932
"2634",girassol,2022/03/06,2022/06/20,-49.4625758940341,-18.0762028830798
"2635",girassol,2022/03/06,2022/06/20,-49.4602022249762,-18.0720195192502
"2636",girassol,2022/03/06,2022/06/20,-49.4632314173028,-18.0735424481765
"2637",girassol,2022/03/06,2022/06/20,-49.4618278950245,-18.0766846470867
"2638",girassol,2022/03/06,2022/06/20,-49.461709577535,-18.0742991673233
"2639",girassol,2022/03/06,2022/06/20,-49.4623998003907,-18.0717446922215
"2640",girassol,2022/03/06,2022/06/20,-49.4591406016887,-18.0716694020755
"2641",girassol,2022/03/06,2022/06/20,-49.4627053368164,-18.0746051370388
"2642",girassol,2022/03/06,2022/06/20,-49.4616788755937,-18.0782789323013
"2643",girassol,2022/03/06,2022/06/20,-49.46224384005,-18.0740118538133
"2644",girassol,2022/03/06,2022/06/20,-49.458600566465,-18.0714921743124
"2645",girassol,2022/03/06,2022/06/20,-49.4624220678552,-18.075508539655
"2646",girassol,2022/03/06,2022/06/20,-49.464203648266,-18.0733811259631
"2647",girassol,2022/03/06,2022/06/20,-49.4621551717937,-18.0745006651891
"2648",girassol,2022/03/06,2022/06/20,-49.4603151840165,-18.0717207328467
"2649",girassol,2022/03/06,2022/06/20,-49.4617298937027,-18.0728654829149
"2650",girassol,2022/03/06,2022/06/20,-49.4588851099141,-18.0728964644365
"2651",girassol,2022/03/06,2022/06/20,-49.4635273212335,-18.0719342199778
"2652",girassol,2022/03/06,2022/06/20,-49.461616308563,-18.0773034706173
"2653",girassol,2022/03/06,2022/06/20,-49.4616279854094,-18.0780072296649
"2654",girassol,2022/03/06,2022/06/20,-49.4577501647473,-18.0717742698037
"2655",girassol,2022/03/06,2022/06/20,-49.4627755910558,-18.0753412106241
"2656",girassol,2022/03/06,2022/06/20,-49.465230868898,-18.0739004493914
"2657",girassol,2022/03/06,2022/06/20,-49.46167015477,-18.0737900815454
"2658",girassol,2022/03/06,2022/06/20,-49.4609374632517,-18.0771258633085
"2659",girassol,2022/03/06,2022/06/20,-49.458989792556,-18.0733335010665
"2660",girassol,2022/03/06,2022/06/20,-49.4594225683017,-18.071023073774
"2661",girassol,2022/03/06,2022/06/20,-49.465143451243,-18.0743563582362
"2662",girassol,2022/03/06,2022/06/20,-49.4635477762195,-18.0766716818759
"2663",girassol,2022/03/06,2022/06/20,-49.4624226602498,-18.0772151206972
"2664",girassol,2022/03/06,2022/06/20,-49.461609224414,-18.0747257614579
"2665",girassol,2022/03/06,2022/06/20,-49.461743205308,-18.0734387760223
"2666",girassol,2022/03/06,2022/06/20,-49.4632793695535,-18.0731335157181
"2667",girassol,2022/03/06,2022/06/20,-49.4614915692142,-18.076388596032
"2668",girassol,2022/03/06,2022/06/20,-49.4633392971028,-18.0739531595969
"2669",girassol,2022/03/06,2022/06/20,-49.4648104620008,-18.0725848053739
"2670",girassol,2022/03/06,2022/06/20,-49.4627105270824,-18.0710244473926
"2671",girassol,2022/03/06,2022/06/20,-49.4644909876959,-18.0753475246275
"2672",girassol,2022/03/06,2022/06/20,-49.4657246325295,-18.0737582643861
"2673",girassol,2022/03/06,2022/06/20,-49.4630531902546,-18.0719815451044
"2674",girassol,2022/03/06,2022/06/20,-49.46317408172,-18.0723796080522
"2675",girassol,2022/03/06,2022/06/20,-49.4586461940187,-18.0720027953382
"2676",girassol,2022/03/06,2022/06/20,-49.4647840643308,-18.0752334801183
"2677",girassol,2022/03/06,2022/06/20,-49.4610848998173,-18.0767525556669
"2678",girassol,2022/03/06,2022/06/20,-49.4624314795712,-18.0726562405889
"2679",girassol,2022/03/06,2022/06/20,-49.4585398804772,-18.0731839256628
"2680",girassol,2022/03/06,2022/06/20,-49.4636072864311,-18.0722074731609
"2681",girassol,2022/03/06,2022/06/20,-49.4635486511109,-18.072906046002
"2682",girassol,2022/03/06,2022/06/20,-49.4621261961013,-18.0750190879283
"2683",girassol,2022/03/06,2022/06/20,-49.4607843091634,-18.0719303495178
"2684",girassol,2022/03/06,2022/06/20,-49.4620681030948,-18.0705500959461
"2685",girassol,2022/03/06,2022/06/20,-49.4608378675638,-18.0713081209116
"2686",girassol,2022/03/06,2022/06/20,-49.4615309388463,-18.0699697284665
"2687",girassol,2022/03/06,2022/06/20,-49.4650109102108,-18.0733508606234
"2688",girassol,2022/03/06,2022/06/20,-49.4638590791437,-18.0731563511189
"2689",girassol,2022/03/06,2022/06/20,-49.4620493794572,-18.0728213215368
"2690",girassol,2022/03/06,2022/06/20,-49.4628543528954,-18.0758376811394
"2691",girassol,2022/03/06,2022/06/20,-49.4631720517707,-18.0770499919062
"2692",girassol,2022/03/06,2022/06/20,-49.4584600953263,-18.0726969752225
"2693",girassol,2022/03/06,2022/06/20,-49.4601347935184,-18.0706863052817
"2694",girassol,2022/03/06,2022/06/20,-49.4604330641277,-18.0728929004041
"2695",girassol,2022/03/06,2022/06/20,-49.4624193925292,-18.0708128911054
"2696",girassol,2022/03/06,2022/06/20,-49.4647976760778,-18.0737474425256
"2697",girassol,2022/03/06,2022/06/20,-49.4645577038404,-18.0748437463378
"2698",girassol,2022/03/06,2022/06/20,-49.4632668266449,-18.0752091813828
"2699",girassol,2022/03/06,2022/06/20,-49.4639421851442,-18.0763309648834
"2700",girassol,2022/03/06,2022/06/20,-49.4619646596628,-18.07099826897
"2701",girassol,2022/03/06,2022/06/20,-49.4638688125031,-18.0724728890368
"2702",girassol,2022/03/06,2022/06/20,-49.4635394938285,-18.0759338863801
"2703",girassol,2022/03/06,2022/06/20,-49.461481202639,-18.0735444122902
"2704",girassol,2022/03/06,2022/06/20,-49.4574308535293,-18.0713754482429
"2705",girassol,2022/03/06,2022/06/20,-49.4598444871993,-18.0727902367223
"2706",girassol,2022/03/06,2022/06/20,-49.4614469928196,-18.0760028882565
"2707",girassol,2022/03/06,2022/06/20,-49.4637708713309,-18.0716799083534
"2708",girassol,2022/03/06,2022/06/20,-49.4621769094682,-18.0776805240448
"2709",girassol,2022/03/06,2022/06/20,-49.4608752206823,-18.0707068178771
"2710",girassol,2022/03/06,2022/06/20,-49.4584020246781,-18.0724110739203
"2711",girassol,2022/03/06,2022/06/20,-49.4608786043133,-18.0710088765258
"2712",girassol,2022/03/06,2022/06/20,-49.462169784793,-18.0764904296817
"2713",girassol,2022/03/06,2022/06/20,-49.4612231612453,-18.072175645697
"2714",girassol,2022/03/06,2022/06/20,-49.4636740436716,-18.0737687337343
"2715",girassol,2022/03/06,2022/06/20,-49.4620664542998,-18.0735534582389
"2716",girassol,2022/03/06,2022/06/20,-49.459603057353,-18.0718524218133
"2717",girassol,2022/03/06,2022/06/20,-49.4641065978614,-18.0720896236009
"2718",girassol,2022/03/06,2022/06/20,-49.4596451886285,-18.0724783135261
"2719",girassol,2022/03/06,2022/06/20,-49.4579195247046,-18.0720552911447
"2720",girassol,2022/03/06,2022/06/20,-49.4593396879277,-18.0706948497368
"2721",girassol,2022/03/06,2022/06/20,-49.4595930844531,-18.0712642041686
"2722",girassol,2022/03/06,2022/06/20,-49.4639816037709,-18.0754207144502
"2723",girassol,2022/03/06,2022/06/20,-49.4602363749883,-18.0712587270476
"2724",girassol,2022/03/06,2022/06/20,-49.4595350108984,-18.0729408428935
"2725",girassol,2022/03/06,2022/06/20,-49.462543196288,-18.0720445867768
"2726",girassol,2022/03/06,2022/06/20,-49.4628669489185,-18.0742243943974
"2727",girassol,2022/03/06,2022/06/20,-49.461003991758,-18.0703399682788
"2728",girassol,2022/03/06,2022/06/20,-49.4591191999241,-18.0722851899351
"2729",girassol,2022/03/06,2022/06/20,-49.4645532079914,-18.0756646486893
"2730",girassol,2022/03/06,2022/06/20,-49.4625853866343,-18.0765637382529
"2731",girassol,2022/03/06,2022/06/20,-49.4649071095114,-18.0740820328012
"2732",girassol,2022/03/06,2022/06/20,-49.462087280001,-18.0718028408936
"2733",girassol,2022/03/06,2022/06/20,-49.4605489200257,-18.0724116511518
"2734",girassol,2022/03/06,2022/06/20,-49.4632323955734,-18.0714995643609
"2735",girassol,2022/03/06,2022/06/20,-49.4601023692764,-18.0726601062518
"2736",girassol,2022/03/06,2022/06/20,-49.4645619649529,-18.0729960335323
"2737",girassol,2022/03/06,2022/06/20,-49.4593234429157,-18.071929106378
"2738",girassol,2022/03/06,2022/06/20,-49.4662140432869,-18.0741134889336
"2739",girassol,2022/03/06,2022/06/20,-49.4613647459432,-18.0706874331604
"2740",girassol,2022/03/06,2022/06/20,-49.4613183920425,-18.0738821911448
"2741",girassol,2022/03/06,2022/06/20,-49.4626846002406,-18.0739827602755
"2742",girassol,2022/03/06,2022/06/20,-49.4640858438187,-18.0748475905637
"2743",girassol,2022/03/06,2022/06/20,-49.4619234374615,-18.0740794996261
"2744",girassol,2022/03/06,2022/06/20,-49.4651712539846,-18.0747760088388
"2745",girassol,2022/03/06,2022/06/20,-49.4628483885147,-18.0768365135752
"2746",girassol,2022/03/06,2022/06/20,-49.4613779699071,-18.0714824490263
"2747",girassol,2022/03/06,2022/06/20,-49.4588060706054,-18.0723565942073
"2748",girassol,2022/03/06,2022/06/20,-49.4597900991335,-18.0715920681036
"2749",girassol,2022/03/06,2022/06/20,-49.4602492329758,-18.0704197156268
